,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
0,Kai'Sa,73,0.924,16,57,10,34,23,59.6,6.53,2.44,5.04,4.74,288.25,9.43,14.3,469.0,0.67,0.37799999999999995,0.251
1,Lillia,72,0.9109999999999999,39,33,9,18,15,54.5,3.18,2.06,7.15,5.01,200.7,6.86,11,376.0,0.6920000000000001,0.213,0.204
2,Rell,68,0.861,42,26,8,16,10,61.5,1.31,3.46,8.88,2.94,37.31,1.25,7.4,247.0,0.645,0.083,0.132
3,Gnar,65,0.823,24,41,9,20,21,48.8,2.17,3.17,4.63,2.15,230.78,8.03,11,382.0,0.525,0.168,0.212
4,Renekton,65,0.823,34,31,11,16,15,51.6,2.32,2.84,5.39,2.72,249.06,7.92,11.8,375.0,0.494,0.149,0.20600000000000002
5,Camille,63,0.797,41,22,8,14,8,63.6,4.05,2.77,5.55,3.46,254.82,8.2,12.9,417.0,0.531,0.22399999999999998,0.21899999999999997
6,Galio,54,0.684,22,32,13,20,12,62.5,1.63,2.88,9.66,3.92,84.31,2.82,8.3,278.0,0.669,0.096,0.15
7,Udyr,54,0.684,28,26,8,11,15,42.3,2.58,2.81,6.81,3.34,186.15,6.14,10.6,350.0,0.6679999999999999,0.184,0.196
8,Olaf,54,0.684,41,13,7,7,6,53.8,3.23,2.38,6.08,3.9,193.08,6.19,11.2,359.0,0.585,0.203,0.19699999999999998
9,Thresh,51,0.6459999999999999,32,19,8,10,9,52.6,0.42,2.95,8.26,2.95,35.11,1.2,6.9,235.0,0.682,0.033,0.132
10,Sett,50,0.633,29,21,10,14,7,66.7,2.14,3.48,7.52,2.78,92.57,3.04,8.7,285.0,0.57,0.126,0.152
11,Seraphine,49,0.62,34,15,9,7,8,46.7,1.4,3.8,9.27,2.81,96.6,3.07,8.7,277.0,0.748,0.098,0.156
12,Lucian,47,0.595,37,10,6,3,7,30,2.9,3.2,3.4,1.97,229.4,8.58,10.7,399.0,0.563,0.259,0.22699999999999998
13,Syndra,46,0.5820000000000001,31,15,8,8,7,53.3,2.93,2.33,6.27,3.94,272.07,8.66,12.3,392.0,0.611,0.195,0.21600000000000003
14,Gragas,42,0.532,10,32,17,16,16,50,2.5,3.34,6.69,2.75,154.31,5.05,9.7,317.0,0.613,0.16699999999999998,0.177
15,Zoe,41,0.519,31,10,5,6,4,60,4.7,1.6,6.7,7.13,261.0,8.2,12.9,405.0,0.644,0.266,0.21600000000000003
16,Samira,38,0.48100000000000004,13,25,7,11,14,44,5.6,3.24,4.2,3.02,264.08,8.69,13.2,436.0,0.679,0.38799999999999996,0.242
17,Xayah,36,0.456,7,29,10,16,13,55.2,4.31,2.72,4.83,3.35,292.07,9.77,13.3,446.0,0.631,0.298,0.245
18,Nidalee,34,0.43,17,17,6,6,11,35.3,1.94,2.88,5.47,2.57,191.29,6.48,10.2,347.0,0.6559999999999999,0.172,0.198
19,Pantheon,32,0.405,25,7,5,2,5,28.6,1.86,4.71,4.86,1.42,95.29,3.18,8.2,275.0,0.522,0.14400000000000002,0.155
20,Leona,29,0.36700000000000005,12,17,9,8,9,47.1,0.76,3.94,9.65,2.64,38.41,1.28,7.2,241.0,0.634,0.047,0.13
21,Alistar,28,0.354,11,17,7,6,11,35.3,0.71,3.65,6.82,2.06,32.35,1.12,6.5,225.0,0.618,0.057999999999999996,0.128
22,Tristana,27,0.342,14,13,8,6,7,46.2,4.62,2.46,4.38,3.66,268.46,9.05,12.9,435.0,0.696,0.35700000000000004,0.24100000000000002
23,Orianna,26,0.32899999999999996,4,22,7,10,12,45.5,2.41,2.82,6.45,3.15,247.91,8.14,11.4,373.0,0.6629999999999999,0.18,0.21100000000000002
24,Graves,26,0.32899999999999996,11,15,7,5,10,33.3,4.73,3.27,5.13,3.02,226.8,6.85,12.8,386.0,0.682,0.327,0.21899999999999997
25,Azir,26,0.32899999999999996,13,13,6,6,7,46.2,1.92,2.69,6.62,3.17,293.31,8.94,12.9,392.0,0.624,0.14,0.221
26,Taliyah,25,0.316,14,11,6,4,7,36.4,4.0,3.91,6.91,2.79,195.73,6.85,11.2,390.0,0.698,0.256,0.212
27,Irelia,24,0.304,16,8,6,3,5,37.5,4.0,3.38,3.88,2.33,260.0,8.98,12.1,420.0,0.618,0.314,0.23199999999999998
28,Aphelios,23,0.29100000000000004,5,18,6,8,10,44.4,3.22,3.44,4.83,2.34,278.72,9.27,12.7,424.0,0.614,0.24600000000000002,0.24100000000000002
29,Malphite,22,0.278,8,14,9,8,6,57.1,2.21,2.21,6.57,3.97,201.43,6.68,10.5,348.0,0.6,0.151,0.192
30,Jayce,22,0.278,13,9,6,4,5,44.4,1.78,4.0,4.22,1.5,247.0,8.77,10.9,387.0,0.48200000000000004,0.14300000000000002,0.214
31,Viktor,21,0.266,3,18,7,9,9,50,3.28,2.72,6.06,3.43,277.72,8.73,12.7,400.0,0.639,0.22399999999999998,0.223
32,Twisted Fate,21,0.266,12,9,6,3,6,33.3,1.89,3.33,9,3.27,223.44,7.15,11.9,379.0,0.6709999999999999,0.11599999999999999,0.20800000000000002
33,Akali,21,0.266,17,4,3,2,2,50,6.5,2.25,5.25,5.22,229.0,8.02,12.4,434.0,0.653,0.361,0.231
34,Hecarim,20,0.253,11,9,4,8,1,88.9,4.56,1.11,7.67,11,191.11,6.88,11.2,405.0,0.696,0.259,0.204
35,Wukong,12,0.152,6,6,3,2,4,33.3,2.83,3.0,6.33,3.06,214.67,7.14,10.9,363.0,0.579,0.179,0.20800000000000002
36,Nautilus,11,0.139,4,7,4,5,2,71.4,1.0,3.14,9,3.18,40.14,1.26,7.9,248.0,0.654,0.065,0.132
37,Nocturne,10,0.127,5,5,2,3,2,60,2.4,3.0,7.2,3.2,191.8,6.17,10.6,342.0,0.593,0.14800000000000002,0.19
38,Aatrox,10,0.127,5,5,4,2,3,40,3.4,2.4,7,4.33,261.8,8.37,13.2,422.0,0.591,0.193,0.22699999999999998
39,Yone,10,0.127,8,2,2,1,1,50,4.5,3.5,4.5,2.57,215.5,8.59,10.7,427.0,0.563,0.281,0.23600000000000002
40,Kennen,8,0.10099999999999999,4,4,3,1,3,25,1.75,3.0,4.5,2.08,227.25,7.91,10.4,363.0,0.46299999999999997,0.13,0.201
41,Rakan,7,0.08900000000000001,2,5,4,2,3,40,0.4,2.8,9,3.36,33.6,1.1,6.8,224.0,0.7120000000000001,0.03,0.13
42,Kayn,6,0.076,1,5,2,2,3,40,1.8,2.8,6.2,2.86,192.0,6.34,10.4,342.0,0.58,0.13,0.192
43,Vladimir,6,0.076,3,3,1,2,1,66.7,2.67,2.33,4.33,3,229.0,7.94,10.5,363.0,0.512,0.195,0.203
44,Miss Fortune,6,0.076,3,3,3,1,2,33.3,5.33,5.33,1.67,1.31,243.0,8.14,12.2,408.0,0.5379999999999999,0.41,0.231
45,Gangplank,5,0.063,-,5,3,3,2,60,1.8,3.0,5.6,2.47,212.2,7.85,10.9,404.0,0.5,0.122,0.214
46,Senna,5,0.063,-,5,4,2,3,40,2.2,3.0,7.8,3.33,201.0,6.76,10.9,366.0,0.685,0.151,0.205
47,Ornn,5,0.063,1,4,3,2,2,50,1.5,2.75,7.5,3.27,203.25,6.95,9.9,340.0,0.679,0.113,0.195
48,Sion,5,0.063,1,4,3,1,3,25,2.25,4.75,5.25,1.58,203.0,6.71,10.6,349.0,0.5770000000000001,0.17300000000000001,0.20199999999999999
49,Ekko,5,0.063,2,3,3,0,3,0,4.0,4.67,4,1.71,263.0,7.92,13.4,405.0,0.727,0.364,0.22899999999999998
50,Kalista,5,0.063,3,2,2,1,1,50,3.0,4.0,10,3.25,254.0,8.58,12.7,430.0,0.813,0.188,0.23800000000000002
51,Dr. Mundo,4,0.051,-,4,2,2,2,50,2.75,2.0,5,3.88,165.0,5.79,9.6,338.0,0.62,0.22,0.191
52,Jinx,4,0.051,-,4,3,2,2,50,3.5,3.25,4.25,2.38,289.5,9.49,13.3,437.0,0.508,0.23,0.23800000000000002
53,Ryze,4,0.051,-,4,3,2,2,50,5.25,3.75,6.25,3.07,257.5,8.81,12.6,431.0,0.73,0.33299999999999996,0.23399999999999999
54,Skarner,4,0.051,1,3,1,3,0,100,1.33,2.33,12.33,5.86,191.33,5.48,11.8,337.0,0.6609999999999999,0.065,0.17
55,Sylas,4,0.051,2,2,2,1,1,50,3.0,4.0,4.5,1.88,264.0,7.49,12.5,355.0,0.5770000000000001,0.231,0.2
56,Vayne,4,0.051,2,2,2,1,1,50,6.0,2.5,5.5,4.6,225.0,8.86,11.5,454.0,0.5479999999999999,0.28600000000000003,0.23199999999999998
57,Braum,3,0.038,1,2,2,1,1,50,1.5,3.0,10.5,4,34.5,1.05,8.2,249.0,0.615,0.077,0.133
58,Shen,3,0.038,1,2,2,1,1,50,0.5,4.0,13,3.38,39.0,1.17,7.8,233.0,0.8440000000000001,0.031,0.131
59,Karthus,3,0.038,1,2,2,0,2,0,3.5,5.0,3,1.3,230.5,6.37,12.3,340.0,0.722,0.389,0.20600000000000002
60,Mordekaiser,3,0.038,2,1,1,0,1,0,1.0,5.0,3,0.8,247.0,7.82,10.9,344.0,0.4,0.1,0.203
61,Anivia,3,0.038,3,-,-,0,0,,,,,,,,,,,,
62,Jhin,2,0.025,-,2,1,1,1,50,3.0,2.0,2.5,2.75,252.5,8.66,11.5,395.0,0.579,0.316,0.22
63,Rumble,2,0.025,-,2,2,1,1,50,2.5,1.0,6.5,9,222.0,7.38,10.8,358.0,0.6,0.16699999999999998,0.187
64,Jax,2,0.025,1,1,1,1,0,100,2.0,2.0,3,2.5,281.0,8.94,13.7,435.0,0.33299999999999996,0.133,0.22
65,Yasuo,2,0.025,1,1,1,1,0,100,3.0,5.0,11,2.8,294.0,8.26,14.6,411.0,0.636,0.136,0.204
66,Volibear,2,0.025,1,1,1,0,1,0,1.0,5.0,5,1.2,307.0,7.67,14,349.0,0.429,0.071,0.19899999999999998
67,Cassiopeia,1,0.013000000000000001,-,1,1,1,0,100,5.0,1.0,7,12,288.0,9.04,14.6,457.0,0.75,0.313,0.239
68,Lee Sin,1,0.013000000000000001,-,1,1,1,0,100,2.0,4.0,11,3.25,157.0,5.44,9.7,334.0,0.722,0.111,0.179
69,Pyke,1,0.013000000000000001,-,1,1,1,0,100,8.0,0.0,7,15,37.0,1.64,9.7,432.0,0.455,0.242,0.188
70,Ashe,1,0.013000000000000001,-,1,1,0,1,0,3.0,4.0,8,2.75,308.0,9.33,13.4,405.0,0.917,0.25,0.249
71,Blitzcrank,1,0.013000000000000001,-,1,1,0,1,0,0.0,1.0,6,6,31.0,0.97,6.8,213.0,0.75,0.0,0.13
72,Darius,1,0.013000000000000001,-,1,1,0,1,0,1.0,4.0,2,0.75,221.0,7.22,9.8,319.0,0.6,0.2,0.19699999999999998
73,Ezreal,1,0.013000000000000001,-,1,1,0,1,0,1.0,3.0,2,1,272.0,8.9,11.8,388.0,0.5,0.16699999999999998,0.244
74,Fiora,1,0.013000000000000001,-,1,1,0,1,0,0.0,4.0,2,0.5,235.0,9.24,8.8,344.0,0.25,0.0,0.21
75,Karma,1,0.013000000000000001,-,1,1,0,1,0,1.0,3.0,5,2,214.0,7.01,9.2,302.0,0.462,0.077,0.179
76,Quinn,1,0.013000000000000001,-,1,1,0,1,0,1.0,2.0,1,1,149.0,7.11,6.5,311.0,0.33299999999999996,0.16699999999999998,0.212
77,Urgot,1,0.013000000000000001,-,1,1,0,1,0,2.0,7.0,5,1,55.0,1.86,7.3,248.0,0.875,0.25,0.154
78,Bard,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
79,Draven,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
80,Kindred,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
81,Maokai,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
82,Tahm Kench,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
